;11#Item1;12#Item2;13#Item3;14#Item4;22#Item5;24#Item6
1648;;;;;4;3
5136;4.5;5;5;4;5;5
918;5;5;4.5;;3;
2824;4.5;;5;;4.5;4
3867;4;4;4.5;;4;3
860;4;4;4.5;;2.5;3
3712;;4.5;;4.5;;
2968;5;4.5;5;2;5;0.5
3525;4;4;4.5;3.5;3;3.5
4323;5;5;5;5;4;5
3617;;;5;3.5;4;4
4360;4;4;4.5;5;4.5;4
2756;;5;4.5;3.5;4;4
89;4;4.5;5;;;5
442;3;;3;4;1;5
3556;4;4;4;4;3;5
5261;;;5;;1.5;0.5
2492;4.5;3.5;3.5;3.5;4;4
5062;4;4;4.5;4.5;4;4
2486;3.5;2;4.5;3.5;2.5;4.5
4942;;3.5;4;4;3.5;4
2267;;;3.5;;;5
4809;;;4.5;3.5;5;
3853;;;3.5;;;5
2288;;3.5;3.5;;3.5;3
